ID,Basic Information Presence,Letter Length,Inappropriate Keywords,Repetitive Content,Reviewer's Judgment
853,No,252,No,No,Good
854,Yes,282,No,No,Not Good
855,Yes,247,Yes,No,Good
856,Yes,206,No,No,Good
857,Yes,287,Yes,Yes,Good
858,Yes,381,No,Yes,Good
859,No,365,No,Yes,Not Good
860,No,404,No,No,Not Good
861,Yes,492,No,No,Not Good
862,Yes,489,No,No,Good
863,Yes,291,No,Yes,Good
864,No,320,No,No,Good
865,Yes,258,Yes,No,Good
866,Yes,479,No,Yes,Not Good
867,No,316,No,No,Good
868,Yes,497,Yes,No,Good
869,No,304,Yes,No,Not Good
870,No,415,No,Yes,Not Good
871,Yes,486,No,No,Good
872,No,349,Yes,Yes,Not Good
873,Yes,475,No,No,Not Good
874,Yes,251,Yes,No,Good
875,Yes,470,No,No,Good
876,No,230,No,Yes,Not Good
877,Yes,373,No,Yes,Good
878,Yes,242,No,No,Good
879,Yes,267,No,No,Good
880,Yes,491,Yes,No,Not Good
881,Yes,241,No,No,Not Good
882,Yes,464,No,No,Good
883,Yes,200,No,No,Good
884,Yes,328,No,No,Good
885,Yes,446,No,No,Not Good
886,Yes,273,No,Yes,Good
887,Yes,455,No,Yes,Good
888,Yes,480,Yes,Yes,Not Good
889,No,274,No,No,Good
890,No,446,No,Yes,Not Good
891,Yes,216,Yes,No,Not Good
892,Yes,323,No,No,Not Good
893,Yes,439,No,Yes,Good
894,No,494,No,Yes,Not Good
895,Yes,403,No,No,Good
896,Yes,477,Yes,Yes,Not Good
897,No,294,No,No,Good
898,Yes,300,Yes,No,Good
899,No,301,No,No,Not Good
900,No,235,No,No,Good
901,Yes,345,Yes,Yes,Not Good
902,No,259,No,Yes,Good
903,Yes,407,No,No,Good
904,Yes,467,No,No,Not Good
905,No,440,No,Yes,Not Good
906,Yes,340,No,No,Good
907,No,204,No,Yes,Not Good
908,No,268,Yes,No,Not Good
909,Yes,473,No,No,Good
910,Yes,369,No,No,Not Good
911,No,310,Yes,Yes,Not Good
912,Yes,299,No,No,Good
913,Yes,217,No,No,Not Good
914,Yes,245,No,Yes,Good
915,No,467,No,No,Good
916,Yes,395,Yes,Yes,Not Good
917,Yes,287,No,No,Good
918,Yes,260,Yes,No,Good
919,Yes,468,No,No,Not Good
920,Yes,414,No,No,Good
921,Yes,494,No,No,Good
922,Yes,214,No,No,Good
923,Yes,260,No,Yes,Not Good
924,Yes,464,Yes,No,Good
925,Yes,236,No,No,Good
926,Yes,359,No,Yes,Good
927,No,395,No,Yes,Not Good
928,No,379,No,No,Good
929,Yes,379,No,Yes,Good
930,Yes,331,Yes,No,Good
931,Yes,461,No,Yes,Not Good
932,Yes,430,No,Yes,Not Good
933,Yes,315,No,No,Not Good
934,No,485,No,No,Good
935,Yes,472,No,No,Good
936,Yes,455,Yes,No,Good
937,No,233,No,Yes,Not Good
938,Yes,319,No,No,Good
939,Yes,245,No,No,Good
940,Yes,203,No,Yes,Not Good
941,No,380,No,No,Not Good
942,Yes,295,No,Yes,Not Good
943,Yes,426,No,No,Good
944,Yes,444,No,No,Good
945,Yes,422,No,No,Good
946,Yes,336,No,No,Good
947,No,439,No,Yes,Not Good
948,Yes,322,No,No,Good
949,No,366,No,No,Not Good
950,Yes,423,Yes,No,Not Good
951,Yes,321,No,No,Good
952,Yes,443,Yes,Yes,Not Good
953,Yes,499,Yes,No,Not Good
954,Yes,246,No,Yes,Not Good
955,No,447,Yes,No,Good
956,Yes,263,No,No,Good
957,No,461,No,Yes,Not Good
958,Yes,368,Yes,No,Not Good
959,Yes,314,Yes,Yes,Not Good
960,No,239,No,Yes,Not Good
961,Yes,361,No,No,Good
962,Yes,454,No,No,Good
963,Yes,380,No,No,Good
964,No,284,Yes,No,Not Good
965,Yes,210,Yes,No,Not Good
966,No,280,No,Yes,Not Good
967,Yes,252,No,No,Good
968,Yes,438,Yes,No,Not Good
969,Yes,321,No,Yes,Good
970,Yes,278,No,Yes,Good
971,Yes,423,No,No,Good
972,Yes,499,No,No,Not Good
973,No,452,No,No,Not Good
974,Yes,279,No,No,Good
975,Yes,244,Yes,Yes,Not Good
976,Yes,303,No,Yes,Good
977,No,266,Yes,No,Good
978,Yes,420,No,No,Good
979,No,329,No,No,Not Good
980,No,310,Yes,Yes,Not Good
981,No,434,No,No,Not Good
982,No,446,Yes,No,Not Good
983,Yes,266,No,No,Good
984,No,385,No,Yes,Not Good
985,Yes,283,Yes,Yes,Not Good
986,No,490,Yes,No,Not Good
987,Yes,216,No,Yes,Good
988,Yes,228,No,No,Good
989,Yes,274,Yes,No,Good
990,Yes,462,No,Yes,Not Good
991,Yes,488,Yes,Yes,Good
992,No,415,Yes,No,Not Good
993,Yes,234,No,No,Good
994,No,497,No,Yes,Good
995,Yes,337,No,Yes,Good
996,Yes,357,Yes,Yes,Not Good
997,Yes,480,No,Yes,Good
998,Yes,375,No,No,Good
999,No,357,Yes,No,Good
1000,Yes,231,No,No,Good
